token,token_type,display_name,category,prerequisite,always_unlocked,requires_any_cap_throw,can_start_with_seed,aliases,notes
MoonRockActive_Lake,event,MoonRockActive_Lake,moon_rock_active,,false,false,false,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj552.,See progression_events.csv for Lake Kingdom.
WorldPeace_Cloud,event,WorldPeace_Cloud,world_peace,,false,false,false,Fill the story moons/bosses that must be completed for world peace in this kingdom.,See progression_events.csv for Cloud Kingdom.
MoonRockActive_Cloud,event,MoonRockActive_Cloud,moon_rock_active,,false,false,false,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj182.,See progression_events.csv for Cloud Kingdom.
WorldPeace_Lost,event,WorldPeace_Lost,world_peace,,false,false,false,Fill the story moons/bosses that must be completed for world peace in this kingdom.,See progression_events.csv for Lost Kingdom.
MoonRockActive_Lost,event,MoonRockActive_Lost,moon_rock_active,,false,false,false,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj610.,See progression_events.csv for Lost Kingdom.
WorldPeace_Metro,event,WorldPeace_Metro,world_peace,,false,false,false,Fill the story moons/bosses that must be completed for world peace in this kingdom.,See progression_events.csv for Metro Kingdom.
MoonRockActive_Metro,event,MoonRockActive_Metro,moon_rock_active,,false,false,false,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj12582.,See progression_events.csv for Metro Kingdom.
WorldPeace_Seaside,event,WorldPeace_Seaside,world_peace,,false,false,false,Fill the story moons/bosses that must be completed for world peace in this kingdom.,See progression_events.csv for Seaside Kingdom.
MoonRockActive_Seaside,event,MoonRockActive_Seaside,moon_rock_active,,false,false,false,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj1374.,See progression_events.csv for Seaside Kingdom.
WorldPeace_Snow,event,WorldPeace_Snow,world_peace,,false,false,false,Fill the story moons/bosses that must be completed for world peace in this kingdom.,See progression_events.csv for Snow Kingdom.
MoonRockActive_Snow,event,MoonRockActive_Snow,moon_rock_active,,false,false,false,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj583.,See progression_events.csv for Snow Kingdom.
WorldPeace_Luncheon,event,WorldPeace_Luncheon,world_peace,,false,false,false,Fill the story moons/bosses that must be completed for world peace in this kingdom.,See progression_events.csv for Luncheon Kingdom.
MoonRockActive_Luncheon,event,MoonRockActive_Luncheon,moon_rock_active,,false,false,false,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj4881.,See progression_events.csv for Luncheon Kingdom.
WorldPeace_Ruined,event,WorldPeace_Ruined,world_peace,,false,false,false,Fill the story moons/bosses that must be completed for world peace in this kingdom.,See progression_events.csv for Ruined Kingdom.
MoonRockActive_Ruined,event,MoonRockActive_Ruined,moon_rock_active,,false,false,false,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj395.,See progression_events.csv for Ruined Kingdom.
WorldPeace_Bowsers,event,WorldPeace_Bowsers,world_peace,,false,false,false,Fill the story moons/bosses that must be completed for world peace in this kingdom.,See progression_events.csv for Bowser's Kingdom.
MoonRockActive_Bowsers,event,MoonRockActive_Bowsers,moon_rock_active,,false,false,false,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj1378.,See progression_events.csv for Bowser's Kingdom.
WorldPeace_Moon,event,WorldPeace_Moon,world_peace,,false,false,false,Fill the story moons/bosses that must be completed for world peace in this kingdom.,See progression_events.csv for Moon Kingdom.
MoonRockActive_Moon,event,MoonRockActive_Moon,moon_rock_active,,false,false,false,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj144.,See progression_events.csv for Moon Kingdom.
WorldPeace_Mushroom,event,WorldPeace_Mushroom,world_peace,,false,false,false,Fill the story moons/bosses that must be completed for world peace in this kingdom.,See progression_events.csv for Mushroom Kingdom.
MoonRockActive_Mushroom,event,MoonRockActive_Mushroom,moon_rock_active,,false,false,false,Fill the route to the Moon Rock and any prerequisite story/global state.,See progression_events.csv for Mushroom Kingdom.
WorldPeace_Dark,event,WorldPeace_Dark,world_peace,,false,false,false,Fill the story moons/bosses that must be completed for world peace in this kingdom.,See progression_events.csv for Dark Side.
MoonRockActive_Dark,event,MoonRockActive_Dark,moon_rock_active,,false,false,false,Fill the route to the Moon Rock and any prerequisite story/global state.,See progression_events.csv for Dark Side.
WorldPeace_Darker,event,WorldPeace_Darker,world_peace,,false,false,false,Fill the story moons/bosses that must be completed for world peace in this kingdom.,See progression_events.csv for Darker Side.
MoonRockActive_Darker,event,MoonRockActive_Darker,moon_rock_active,,false,false,false,Fill the route to the Moon Rock and any prerequisite story/global state.,See progression_events.csv for Darker Side.
free,constant,Free,Logic,,true,false,false,none; no requirement,"Use when no ability, capture, event, or item is required."
impossible,constant,Impossible,Logic,,false,false,false,unreachable,Use for intentionally blocked paths.
KingdomAccess_Cap,kingdom,Cap Kingdom Access,Kingdom Access,,false,false,false,Cap Kingdom,Requires being able to reach the Cap Kingdom. (e.g. a hint-art moon that depends on another kingdom).
KingdomAccess_Cascade,kingdom,Cascade Kingdom Access,Kingdom Access,,false,false,false,Cascade Kingdom,Requires being able to reach the Cascade Kingdom.
KingdomAccess_Sand,kingdom,Sand Kingdom Access,Kingdom Access,,false,false,false,Sand Kingdom,Requires being able to reach the Sand Kingdom.
KingdomAccess_Wooded,kingdom,Wooded Kingdom Access,Kingdom Access,,false,false,false,Wooded Kingdom,Requires being able to reach the Wooded Kingdom.
KingdomAccess_Lake,kingdom,Lake Kingdom Access,Kingdom Access,,false,false,false,Lake Kingdom,Requires being able to reach the Lake Kingdom.
KingdomAccess_Cloud,kingdom,Cloud Kingdom Access,Kingdom Access,,false,false,false,Cloud Kingdom,Requires being able to reach the Cloud Kingdom.
KingdomAccess_Lost,kingdom,Lost Kingdom Access,Kingdom Access,,false,false,false,Lost Kingdom,Requires being able to reach the Lost Kingdom.
KingdomAccess_Metro,kingdom,Metro Kingdom Access,Kingdom Access,,false,false,false,Metro Kingdom,Requires being able to reach the Metro Kingdom.
KingdomAccess_Seaside,kingdom,Seaside Kingdom Access,Kingdom Access,,false,false,false,Seaside Kingdom,Requires being able to reach the Seaside Kingdom.
KingdomAccess_Snow,kingdom,Snow Kingdom Access,Kingdom Access,,false,false,false,Snow Kingdom,Requires being able to reach the Snow Kingdom.
KingdomAccess_Luncheon,kingdom,Luncheon Kingdom Access,Kingdom Access,,false,false,false,Luncheon Kingdom,Requires being able to reach the Luncheon Kingdom.
KingdomAccess_Ruined,kingdom,Ruined Kingdom Access,Kingdom Access,,false,false,false,Ruined Kingdom,Requires being able to reach the Ruined Kingdom.
KingdomAccess_Bowsers,kingdom,Bowser's Kingdom Access,Kingdom Access,,false,false,false,Bowser's Kingdom,Requires being able to reach the Bowser's Kingdom.
KingdomAccess_Moon,kingdom,Moon Kingdom Access,Kingdom Access,,false,false,false,Moon Kingdom,Requires being able to reach the Moon Kingdom.
KingdomAccess_Mushroom,kingdom,Mushroom Kingdom Access,Kingdom Access,,false,false,false,Mushroom Kingdom,Requires being able to reach the Mushroom Kingdom.
KingdomAccess_Dark,kingdom,Dark Side Access,Kingdom Access,,false,false,false,Dark Side,Requires being able to reach the Dark Side.
KingdomAccess_Darker,kingdom,Darker Side Access,Kingdom Access,,false,false,false,Darker Side,Requires being able to reach the Darker Side.
