node_id,kingdom,stage,stage_display_name,area_scope,node_type,source,entrance_id,side,obj_id,display_name,x,y,z,scenario_indices,notes,status
SkyWorldCostumeStage::entrance::byoubu::sub_far,Bowser's Kingdom,SkyWorldCostumeStage,Scene in the Folding Screen,subarea,substage_entrance,EntranceDB,byoubu,sub_far,obj184,Substage far side: byoubu,9100.000,-50.000,-33521.594,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SkyWorldHomeStage.,
SkyWorldCostumeStage::entrance::byoubu::sub_near,Bowser's Kingdom,SkyWorldCostumeStage,Scene in the Folding Screen,subarea,substage_entrance,EntranceDB,byoubu,sub_near,obj184,Substage near side: byoubu,9100.000,-50.000,-33521.594,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SkyWorldHomeStage.,
SkyWorldHomeStage::checkpoint::obj1626,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj1626,Third Courtyard (Rear) Checkpoint (obj1626),-26500.000,6850.000,21950.000,0;1;2;3,Raw UnitConfigName=CheckpointFlag.,
SkyWorldHomeStage::checkpoint::obj1726,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj1726,Third Courtyard (Front) Checkpoint (obj1726),-55777.672,3600.000,27343.816,0;1;2;3,Raw UnitConfigName=CheckpointFlag.,
SkyWorldHomeStage::checkpoint::obj2028,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj2028,Souvenir Shop Checkpoint (obj2028),-27800.000,21778.000,-30900.000,0;1;2;3,Raw UnitConfigName=CheckpointFlag.,
SkyWorldHomeStage::checkpoint::obj2697,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj2697,Island in the Sky Checkpoint (obj2697),19450.000,42500.000,20650.000,0;1;2;3,Raw UnitConfigName=CheckpointFlag.,
SkyWorldHomeStage::entrance::byoubu::home_in,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,byoubu,home_in,obj2583,Home entrance: byoubu,-29151.617,21770.000,-32900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Links to SkyWorldCostumeStage. StageData anchor UnitConfigName=DoorWarpStageChange.,
SkyWorldHomeStage::entrance::byoubu::home_out,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,byoubu,home_out,obj2583,Home return: byoubu,-29151.617,21770.000,-32900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Links to SkyWorldCostumeStage. StageData anchor UnitConfigName=DoorWarpStageChange.,
SkyWorldHomeStage::entrance::jizo01::home_in,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,jizo01,home_in,obj6474,Home entrance: jizo01,-4550.000,25100.000,-40950.000,1;2;3;4;5,Links to JizoSwitchExStage.,
SkyWorldHomeStage::entrance::jizo02::home_out,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,jizo02,home_out,obj6475,Home return: jizo02,-4150.000,25100.000,-41600.000,1;2;3;4;5,Links to JizoSwitchExStage.,
SkyWorldHomeStage::entrance::shop::home_in,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,shop,home_in,obj1249,Home entrance: shop,-29150.000,21750.000,-32350.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Links to SkyWorldShopStage. StageData anchor UnitConfigName=ChangeStageArea.,
SkyWorldHomeStage::entrance::shop::home_out,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,shop,home_out,obj1249,Home return: shop,-29150.000,21750.000,-32350.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Links to SkyWorldShopStage. StageData anchor UnitConfigName=ChangeStageArea.,
SkyWorldHomeStage::entrance::shop_dress::home_in,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,shop_dress,home_in,obj6155,Home entrance: shop_dress,-100.000,11500.000,-6150.000,1;2;3;4;5,Links to SkyWorldTreasureStage.,
SkyWorldHomeStage::entrance::shop_dress::home_out,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,shop_dress,home_out,obj6155,Home return: shop_dress,-100.000,11500.000,-6150.000,1;2;3;4;5,Links to SkyWorldTreasureStage.,
SkyWorldHomeStage::entrance::sora001::home_in,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,sora001,home_in,obj2352,Home entrance: sora001,-9850.000,16350.000,-6750.000,0;1;2;3,Links to SkyWorldCloudBonusExStage.,
SkyWorldHomeStage::entrance::sora001::home_out,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,sora001,home_out,obj2352,Home return: sora001,-9850.000,16350.000,-6750.000,0;1;2;3,Links to SkyWorldCloudBonusExStage.,
SkyWorldHomeStage::entrance::tukkun000_enter::home_in,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,tukkun000_enter,home_in,obj6463,Home entrance: tukkun000_enter,-8167.083,10822.461,-8167.083,1;2;3;4;5,Links to TsukkunRotateExStage.,
SkyWorldHomeStage::entrance::tukkun000_exit::home_out,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,tukkun000_exit,home_out,obj4067,Home return: tukkun000_exit,-7450.000,10900.000,-6800.000,1;2;3;4;5,Links to TsukkunRotateExStage.,
SkyWorldHomeStage::entrance::tukkun001_enter::home_in,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,tukkun001_enter,home_in,obj3040,Home entrance: tukkun001_enter,18105.000,3709.675,1762.000,3,Links to TsukkunClimbExStage.,
SkyWorldHomeStage::entrance::tukkun001_exit::home_out,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,tukkun001_exit,home_out,obj4008,Home return: tukkun001_exit,18280.000,3709.675,1100.000,3,Links to TsukkunClimbExStage.,
SkyWorldHomeStage::stage_change::Come::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,Come,raw,obj1400,Stage Change Come,19950.000,42500.000,21200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=WorldWarpHole.,
SkyWorldHomeStage::stage_change::Go::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,Go,raw,obj1399,Stage Change Go,2610.000,28350.000,-38870.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=WorldWarpHole.,
SkyWorldHomeStage::stage_change::SkyStart1::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,SkyStart1,raw,obj2719,Stage Change SkyStart1,29158.582,42331.621,-60132.844,2;3,Raw UnitConfigName=PlayerStartObjNoLink.,
SkyWorldHomeStage::stage_change::byoubu::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,byoubu,raw,obj2583,Stage Change byoubu,-29151.617,21770.000,-32900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DoorWarpStageChange.,
SkyWorldHomeStage::stage_change::shop::raw,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_change,StageData,shop,raw,obj1249,Stage Change shop,-29150.000,21750.000,-32350.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
SkyWorldHomeStage::start,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
SkyWorldHomeStage::event::MoonRockActive_Bowsers,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,state_event,StageData:progression_events,,,obj1378,Moon Rock,14650.000,28900.000,-45000.000,2;3,Fill the route to the Moon Rock and any prerequisite story/global state. Location imported from StageData obj obj1378.,
SkyWorldHomeStage::event::WorldPeace_Bowsers,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,state_event,progression_events,,,,Bowser's Kingdom World Peace,,,,,Fill the story moons/bosses that must be completed for world peace in this kingdom.,
SkyWorldShopStage::start,Bowser's Kingdom,SkyWorldShopStage,Crazy Cap Store,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
SkyWorldShopStage::entrance::shop::sub_far,Bowser's Kingdom,SkyWorldShopStage,Crazy Cap Store,subarea,substage_entrance,EntranceDB,shop,sub_far,obj44,Substage far side: shop,50.000,-100.000,350.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SkyWorldHomeStage.,
SkyWorldShopStage::entrance::shop::sub_near,Bowser's Kingdom,SkyWorldShopStage,Crazy Cap Store,subarea,substage_entrance,EntranceDB,shop,sub_near,obj44,Substage near side: shop,50.000,-100.000,350.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SkyWorldHomeStage.,
SkyWorldTreasureStage::start,Bowser's Kingdom,SkyWorldTreasureStage,Bowser's Kingdom Treasure Vault,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
SkyWorldTreasureStage::entrance::shop_dress::sub_far,Bowser's Kingdom,SkyWorldTreasureStage,Bowser's Kingdom Treasure Vault,subarea,substage_entrance,EntranceDB,shop_dress,sub_far,obj45,Substage far side: shop_dress,-100.000,0.000,250.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SkyWorldHomeStage.,
SkyWorldTreasureStage::entrance::shop_dress::sub_near,Bowser's Kingdom,SkyWorldTreasureStage,Bowser's Kingdom Treasure Vault,subarea,substage_entrance,EntranceDB,shop_dress,sub_near,obj45,Substage near side: shop_dress,-100.000,0.000,250.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SkyWorldHomeStage.,
TsukkunClimbExStage::start,Bowser's Kingdom,TsukkunClimbExStage,Wooden Tower,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
TsukkunClimbExStage::entrance::tukkun001_enter::sub_near,Bowser's Kingdom,TsukkunClimbExStage,Wooden Tower,subarea,substage_entrance,EntranceDB,tukkun001_enter,sub_near,obj172,Substage near side: tukkun001_enter,-700.000,150.000,5750.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SkyWorldHomeStage.,
TsukkunClimbExStage::entrance::tukkun001_exit::sub_far,Bowser's Kingdom,TsukkunClimbExStage,Wooden Tower,subarea,substage_entrance,EntranceDB,tukkun001_exit,sub_far,obj173,Substage far side: tukkun001_exit,-1900.000,8750.000,-2050.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SkyWorldHomeStage.,
TsukkunRotateExStage::start,Bowser's Kingdom,TsukkunRotateExStage,Spinning Tower,subarea,stage_start,generated,,,,Default start,,,,,Rename or split if this stage has multiple meaningful starts.,
TsukkunRotateExStage::entrance::tukkun000_enter::sub_near,Bowser's Kingdom,TsukkunRotateExStage,Spinning Tower,subarea,substage_entrance,EntranceDB,tukkun000_enter,sub_near,obj160,Substage near side: tukkun000_enter,-1550.000,-50.000,6150.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SkyWorldHomeStage.,
TsukkunRotateExStage::entrance::tukkun000_exit::sub_far,Bowser's Kingdom,TsukkunRotateExStage,Spinning Tower,subarea,substage_entrance,EntranceDB,tukkun000_exit,sub_far,obj99,Substage far side: tukkun000_exit,0.000,5250.000,-250.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SkyWorldHomeStage.,
JizoSwitchExStage::stage_change::jizo01::raw,Bowser's Kingdom,JizoSwitchExStage,Jizo's Great Adventure,subarea,stage_change,StageData,jizo01,raw,obj189,Stage Change jizo01,1300.000,1100.000,5400.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
JizoSwitchExStage::stage_change::jizo02::raw,Bowser's Kingdom,JizoSwitchExStage,Jizo's Great Adventure,subarea,stage_change,StageData,jizo02,raw,obj217,Stage Change jizo02,1900.000,2900.000,-3200.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
KaronWingTowerStage::stage_change::Patakaron02::raw,Bowser's Kingdom,KaronWingTowerStage,Hexagon Tower,subarea,stage_change,StageData,Patakaron02,raw,obj744,Stage Change Patakaron02,1900.000,5550.000,900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
SkyWorldCloudBonusExStage::stage_change::sora001::raw,Bowser's Kingdom,SkyWorldCloudBonusExStage,Dashing Above the Clouds,subarea,stage_change,StageData,sora001,raw,obj1745,Stage Change sora001,1863.807,-11950.000,16974.182,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
SkyWorldCostumeStage::stage_change::byoubu::raw,Bowser's Kingdom,SkyWorldCostumeStage,Scene in the Folding Screen,subarea,stage_change,StageData,byoubu,raw,obj184,Stage Change byoubu,9100.000,-50.000,-33521.594,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
SkyWorldShopStage::stage_change::shop::raw,Bowser's Kingdom,SkyWorldShopStage,Crazy Cap Store,subarea,stage_change,StageData,shop,raw,obj44,Stage Change shop,50.000,-100.000,350.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
SkyWorldTreasureStage::stage_change::shop_dress::raw,Bowser's Kingdom,SkyWorldTreasureStage,Bowser's Kingdom Treasure Vault,subarea,stage_change,StageData,shop_dress,raw,obj45,Stage Change shop_dress,-100.000,0.000,250.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
SkyWorldWallZone::checkpoint::obj545,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,checkpoint,StageData,,,obj545,Second Courtyard Checkpoint (obj545),-34675.987,15300.000,-6340.037,0;1;2;3,Raw UnitConfigName=CheckpointFlag.,
TsukkunClimbExStage::stage_change::tukkun001_enter::raw,Bowser's Kingdom,TsukkunClimbExStage,Wooden Tower,subarea,stage_change,StageData,tukkun001_enter,raw,obj172,Stage Change tukkun001_enter,-700.000,150.000,5750.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
TsukkunClimbExStage::stage_change::tukkun001_exit::raw,Bowser's Kingdom,TsukkunClimbExStage,Wooden Tower,subarea,stage_change,StageData,tukkun001_exit,raw,obj173,Stage Change tukkun001_exit,-1900.000,8750.000,-2050.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
TsukkunRotateExStage::stage_change::tukkun000_enter::raw,Bowser's Kingdom,TsukkunRotateExStage,Spinning Tower,subarea,stage_change,StageData,tukkun000_enter,raw,obj160,Stage Change tukkun000_enter,-1550.000,-50.000,6150.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
TsukkunRotateExStage::stage_change::tukkun000_exit::raw,Bowser's Kingdom,TsukkunRotateExStage,Spinning Tower,subarea,stage_change,StageData,tukkun000_exit,raw,obj99,Stage Change tukkun000_exit,0.000,5250.000,-250.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=DokanStageChange.,
SkyWorldHomeStage::place::new_place_3,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,custom_place,editor,,,,Third Coutyward END,,,,,Human-authored logic place.,
SkyWorldCastleZone::start,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,custom_place,embedded_zone,,,,SkyWorldCastleZone,21350.000,28900.000,-49150.000,,Embedded map landmark from SkyWorldCastleZone.,
SkyWorldWallZone::start,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,custom_place,embedded_zone,,,,SkyWorldWallZone,-90500.000,7250.000,9350.000,,Embedded map landmark from SkyWorldWallZone.,
SkyWorldHomeStage::entrance::Patakaron02::home_in,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,Patakaron02,home_in,obj3768,Home entrance: Patakaron02,-19770.000,3709.675,1770.000,3,Links to KaronWingTowerStage.,
SkyWorldHomeStage::entrance::Patakaron02::home_out,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,home_entrance,EntranceDB,Patakaron02,home_out,obj3768,Home return: Patakaron02,-19770.000,3709.675,1770.000,3,Links to KaronWingTowerStage.,
KaronWingTowerStage::entrance::Patakaron02::sub_near,Bowser's Kingdom,KaronWingTowerStage,Hexagon Tower,subarea,substage_entrance,EntranceDB,Patakaron02,sub_near,obj744,Substage near side: Patakaron02,1900.000,5550.000,900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SkyWorldHomeStage.,
KaronWingTowerStage::entrance::Patakaron02::sub_far,Bowser's Kingdom,KaronWingTowerStage,Hexagon Tower,subarea,substage_entrance,EntranceDB,Patakaron02,sub_far,obj744,Substage far side: Patakaron02,1900.000,5550.000,900.000,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Connected from SkyWorldHomeStage.,
SkyWorldWallZone::place::new_place,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,custom_place,editor,,,,Shop LINK,,,,,Human-authored logic place.,
SkyWorldWallZone::place::new_place_2,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,custom_place,editor,,,,Third Courtyard LINK,,,,,Human-authored logic place.,
SkyWorldHomeStage::place::new_place_2,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,custom_place,editor,,,,Second Courtyard LINK,,,,,Human-authored logic place.,
SkyWorldHomeStage::place::new_place,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,custom_place,editor,,,,Ogre Area,,,,,Human-authored logic place.,
SkyWorldHomeStage::place::new_place_4,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,custom_place,editor,,,,Bowser's Treasure Vault Floor,,,,,Human-authored logic place.,
SkyWorldHomeStage::place::new_place_5,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,custom_place,editor,,,,Top of Third Courtyard,,,,,Human-authored logic place.,
SkyWorldHomeStage::place::new_place_6,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,custom_place,editor,,,,Slingshot Area Free,,,,,Human-authored logic place.,
SkyWorldHomeStage::place::new_place_7,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,custom_place,editor,,,,Small Bird in Bowser's Kingdom Free,,,,,Human-authored logic place.,
SkyWorldHomeStage::place::new_place_8,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,custom_place,editor,,,,Behind the Big Doors,,,,,Human-authored logic place.,
SkyWorldHomeStage::place::new_place_9,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,custom_place,editor,,,,Exterminate the Ogres! Island,,,,,Human-authored logic place.,
SkyWorldHomeStage::place::new_place_10,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,custom_place,editor,,,,Outer Wall Area,,,,,Human-authored logic place.,
SkyWorldHomeStage::place::new_place_11,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,custom_place,editor,,,,Mech Fight,,,,,Human-authored logic place.,
SkyWorldHomeStage::place::new_place_12,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,custom_place,editor,,,,Bowser's Treasure Vault Top,,,,,Human-authored logic place.,
SkyWorldHomeStage::place::new_place_13,Bowser's Kingdom,SkyWorldHomeStage,Bowser's Kingdom,overworld,custom_place,editor,,,,Knocking Down the Nice Frame Free,,,,,Human-authored logic place.,
CapWorldTowerStage::stage_change::Ex::raw,Cap Kingdom,CapWorldTowerStage,Inside Cap Tower,subarea,stage_change,StageData,Ex,raw,obj192,Stage Change Ex,-496.856,-50.000,15457.521,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,Raw UnitConfigName=ChangeStageArea.,
