stage,kingdom,stage_display_name,stage_start_node_id,area_scope,listed_in_stage_warp,has_shine_db_moons,active_entrance_link_count,excluded_entrance_link_count,has_raw_stage_data_points,status,notes
RollingExStage,Cap Kingdom,Precision Rolling,RollingExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
CapAppearExStage,Cascade Kingdom,Mysterious Clouds,CapAppearExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
Lift2DExStage,Cascade Kingdom,8-Bit Chasm Lifts,Lift2DExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
TrexPoppunExStage,Cascade Kingdom,Dinosaur Nest,TrexPoppunExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
WanwanClashExStage,Cascade Kingdom,Nice Shots with Chain Chomps,WanwanClashExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
WaterfallWorldHomeStage,Cascade Kingdom,Cascade Kingdom,WaterfallWorldHomeStage::start,overworld,true,true,5,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
WindBlowExStage,Cascade Kingdom,Gusty Bridges,WindBlowExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
CloudWorldHomeStage,Cloud Kingdom,Cloud Kingdom,CloudWorldHomeStage::start,overworld,true,true,2,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
Cube2DExStage,Cloud Kingdom,2D Cube,Cube2DExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
FukuwaraiKuriboStage,Cloud Kingdom,Picture Match,FukuwaraiKuriboStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
BikeSteelNoCapExStage,Dark Side,Vanishing Road Capless,BikeSteelNoCapExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
KillerRoadNoCapExStage,Dark Side,Breakdown Road Capless,KillerRoadNoCapExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
LavaWorldUpDownYoshiExStage,Dark Side,Yoshi's Magma Swamp,LavaWorldUpDownYoshiExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PackunPoisonNoCapExStage,Dark Side,Invisible Road Capless,PackunPoisonNoCapExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SenobiTowerYoshiExStage,Dark Side,Yoshi on the Sinking Island,SenobiTowerYoshiExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
ShootingCityYoshiExStage,Dark Side,Yoshi Under Siege,ShootingCityYoshiExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
Special1WorldHomeStage,Dark Side,Dark Side,Special1WorldHomeStage::start,overworld,true,true,6,4,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
Special1WorldTowerBombTailStage,Dark Side,Rabbit Ridge Tower: Hariet Battle,Special1WorldTowerBombTailStage::start,subarea,true,false,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
Special1WorldTowerCapThrowerStage,Dark Side,Rabbit Ridge Tower: Rango Battle,Special1WorldTowerCapThrowerStage::start,subarea,true,false,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
Special1WorldTowerFireBlowerStage,Dark Side,Rabbit Ridge Tower: Spewart Battle,Special1WorldTowerFireBlowerStage::start,subarea,true,false,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
Special1WorldTowerStackerStage,Dark Side,Rabbit Ridge Tower: Topper Battle,Special1WorldTowerStackerStage::start,subarea,true,false,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
Special2WorldCloudStage,Darker Side,Culmina Crater: Pokio Section,Special2WorldCloudStage::start,subarea,true,false,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
Special2WorldHomeStage,Darker Side,Darker Side,Special2WorldHomeStage::start,overworld,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
Special2WorldKoopaStage,Darker Side,Culmina Crater: Bowser Escape,Special2WorldKoopaStage::start,subarea,true,false,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
Special2WorldLavaStage,Darker Side,Inside Culmina Crater,Special2WorldLavaStage::start,subarea,true,false,0,3,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
FastenerExStage,Lake Kingdom,Unzipping the Chasm,FastenerExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
FrogPoisonExStage,Lake Kingdom,Waves of Poison,FrogPoisonExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
GotogotonExStage,Lake Kingdom,Puzzle Room,GotogotonExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
LakeWorldHomeStage,Lake Kingdom,Lake Kingdom,LakeWorldHomeStage::start,overworld,true,true,5,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link. Includes embedded map LakeWorld2DZone. Includes embedded map LakeWorldTimerAthletic000Zone. Includes embedded map LakeWorldTownZone.
LakeWorldShopStage,Lake Kingdom,Crazy Cap Store,LakeWorldShopStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
TrampolineWallCatchExStage,Lake Kingdom,"Jump, Grab, Cling, Climb",TrampolineWallCatchExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
ClashWorldHomeStage,Lost Kingdom,Lost Kingdom,ClashWorldHomeStage::start,overworld,true,true,3,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
ClashWorldShopStage,Lost Kingdom,Crazy Cap Store,ClashWorldShopStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
ImomuPoisonExStage,Lost Kingdom,Stretch and Traverse the Jungle,ImomuPoisonExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
JangoExStage,Lost Kingdom,Klepto 2 - Lava Boogaloo,JangoExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
CapAppearLavaLiftExStage,Luncheon Kingdom,Volcano Cave Cruising,CapAppearLavaLiftExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
ForkExStage,Luncheon Kingdom,Fork-Flickin to the Summit,ForkExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
GabuzouClockExStage,Luncheon Kingdom,Blazing Above the Gears,GabuzouClockExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
LavaBonus1Zone,Luncheon Kingdom,Luncheon Kingdom Slots,LavaBonus1Zone::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
LavaWorldBubbleLaneExStage,Luncheon Kingdom,Narrow Magma Path,LavaWorldBubbleLaneExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
LavaWorldClockExStage,Luncheon Kingdom,Spinning Athletics,LavaWorldClockExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
LavaWorldCostumeStage,Luncheon Kingdom,Simmering in the Kitchen,LavaWorldCostumeStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
LavaWorldExcavationExStage,Luncheon Kingdom,Shards in the Cheese Rocks,LavaWorldExcavationExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
LavaWorldFenceLiftExStage,Luncheon Kingdom,Lava Island Fly-By,LavaWorldFenceLiftExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
LavaWorldHomeStage,Luncheon Kingdom,Luncheon Kingdom,LavaWorldHomeStage::start,overworld,true,true,10,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
LavaWorldShopStage,Luncheon Kingdom,Crazy Cap Store,LavaWorldShopStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
LavaWorldTreasureStage,Luncheon Kingdom,Luncheon Treasure Vault,LavaWorldTreasureStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
LavaWorldUpDownExStage,Luncheon Kingdom,Magma Swamp,LavaWorldUpDownExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
BikeSteelExStage,Metro Kingdom,Scooter Daredevil,BikeSteelExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
CapRotatePackunExStage,Metro Kingdom,Rotating Maze Shards,CapRotatePackunExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
CityPeopleRoadStage,Metro Kingdom,Crowded Alleyway,CityPeopleRoadStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
CityWorldFactoryStage,Metro Kingdom,Sewers,CityWorldFactoryStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link. Includes embedded map CityWorldFactory01Zone.
CityWorldHomeStage,Metro Kingdom,Metro Kingdom,CityWorldHomeStage::start,overworld,true,true,15,3,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link. Includes embedded map CityWorld2DSign004Zone. Includes embedded map CityWorldTimerAthletic002Zone. Includes embedded map CityWorldTimerAthletic003Zone.
CityWorldMainTowerStage,Metro Kingdom,Inside New Donk City Tower,CityWorldMainTowerStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
CityWorldSandSlotStage,Metro Kingdom,Metro Kingdom Slots,CityWorldSandSlotStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
CityWorldShop01Stage,Metro Kingdom,Crazy Cap Store,CityWorldShop01Stage::start,subarea,true,true,2,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
DonsukeExStage,Metro Kingdom,Pitchblack Mountain,DonsukeExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
ElectricWireExStage,Metro Kingdom,Rewiring the Neighborhood,ElectricWireExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
Note2D3DRoomExStage,Metro Kingdom,Rainbow Notes,Note2D3DRoomExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PoleGrabCeilExStage,Metro Kingdom,Swinging Along the High-Rises,PoleGrabCeilExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PoleKillerExStage,Metro Kingdom,Bullet Billding,PoleKillerExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
RadioControlExStage,Metro Kingdom,RC Race,RadioControlExStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
ShootingCityExStage,Metro Kingdom,Shards Under Siege,ShootingCityExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SwingSteelExStage,Metro Kingdom,Swinging Scaffolding,SwingSteelExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
Theater2DExStage,Metro Kingdom,On the Big Screen,Theater2DExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
TrexBikeExStage,Metro Kingdom,Scooter Escape!,TrexBikeExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
Galaxy2DExStage,Moon Kingdom,8-Bit Galaxy,Galaxy2DExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
MoonAthleticExStage,Moon Kingdom,Giant Swings,MoonAthleticExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
MoonWorldBasementStage,Moon Kingdom,Moon Cave Escape,MoonWorldBasementStage::start,subarea,true,false,0,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
MoonWorldCaptureParadeStage,Moon Kingdom,Underground Caverns,MoonWorldCaptureParadeStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link. Includes embedded map MoonWorldCaptureParadeKillerZone. Includes embedded map MoonWorldCaptureParadeLavaPillarZone.
MoonWorldHomeStage,Moon Kingdom,Moon Kingdom,MoonWorldHomeStage::start,overworld,true,true,4,2,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link. Includes embedded map MoonWorldHome2DZone.
MoonWorldShopRoom,Moon Kingdom,Crazy Cap Store,MoonWorldShopRoom::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
MoonWorldSphinxRoom,Moon Kingdom,Moon Kingdom Treasure Vault,MoonWorldSphinxRoom::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
MoonWorldWeddingRoomStage,Moon Kingdom,Wedding Room,MoonWorldWeddingRoomStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link. Includes embedded map MoonWorldWeddingRoomZone.
DotHardExStage,Mushroom Kingdom,8-Bit Bullet Bills,DotHardExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
FukuwaraiMarioStage,Mushroom Kingdom,Picture Match,FukuwaraiMarioStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldCastleStage,Mushroom Kingdom,Peach's Castle,PeachWorldCastleStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldCostumeStage,Mushroom Kingdom,Castle Courtyard 64,PeachWorldCostumeStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldHomeStage,Mushroom Kingdom,Mushroom Kingdom,PeachWorldHomeStage::start,overworld,true,true,12,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldPictureBossForestStage,Mushroom Kingdom,Painting Room: Torkdrift,PeachWorldPictureBossForestStage::start,subarea,true,false,1,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldPictureBossKnuckleStage,Mushroom Kingdom,Painting Room: Knucklotec,PeachWorldPictureBossKnuckleStage::start,subarea,true,false,1,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldPictureBossMagmaStage,Mushroom Kingdom,Painting Room: Cookatiel,PeachWorldPictureBossMagmaStage::start,subarea,true,false,1,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldPictureBossRaidStage,Mushroom Kingdom,Painting Room: Lord of Lightning,PeachWorldPictureBossRaidStage::start,subarea,true,false,1,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldPictureGiantWanderBossStage,Mushroom Kingdom,Painting Room: Mollusque-Lanceur,PeachWorldPictureGiantWanderBossStage::start,subarea,true,false,1,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldPictureMofumofuStage,Mushroom Kingdom,Painting Room: Mechawiggler,PeachWorldPictureMofumofuStage::start,subarea,true,false,1,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
PeachWorldShopStage,Mushroom Kingdom,Crazy Cap Store,PeachWorldShopStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
RevengeBossKnuckleStage,Mushroom Kingdom,Knucklotec Boss Re-fight,RevengeBossKnuckleStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
RevengeBossMagmaStage,Mushroom Kingdom,Cookatiel Boss Re-fight,RevengeBossMagmaStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
RevengeBossRaidStage,Mushroom Kingdom,Lord of Lightning Boss Re-fight,RevengeBossRaidStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
RevengeForestBossStage,Mushroom Kingdom,Torkdrift Boss Re-fight,RevengeForestBossStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
RevengeGiantWanderBossStage,Mushroom Kingdom,Mollusque-Lanceur Boss Re-fight,RevengeGiantWanderBossStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
RevengeMofumofuStage,Mushroom Kingdom,Mechawiggler Boss Re-fight,RevengeMofumofuStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
YoshiCloudExStage,Mushroom Kingdom,Yoshi in the Sea of Clouds,YoshiCloudExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
AttackWorldHomeStage,Ruined Kingdom,Ruined Kingdom,AttackWorldHomeStage::start,subarea,true,false,0,0,false,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
BossRaidWorldHomeStage,Ruined Kingdom,Ruined Kingdom,BossRaidWorldHomeStage::start,overworld,true,true,2,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
BullRunExStage,Ruined Kingdom,Mummy Army,BullRunExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
DotTowerExStage,Ruined Kingdom,Roulette Tower,DotTowerExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
MeganeLiftExStage,Sand Kingdom,The Invisible Maze,MeganeLiftExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
RocketFlowerExStage,Sand Kingdom,Colossal Ruins,RocketFlowerExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SandWorldCostumeStage,Sand Kingdom,Costume Room,SandWorldCostumeStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SandWorldHomeStage,Sand Kingdom,Sand Kingdom,SandWorldHomeStage::start,overworld,true,true,16,5,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link. Includes embedded map SandWorldKillerTowerZone.
SandWorldKillerExStage,Sand Kingdom,Bullet Bill Maze,SandWorldKillerExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SandWorldMeganeExStage,Sand Kingdom,Transparent Lifts,SandWorldMeganeExStage::start,subarea,true,true,1,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SandWorldPressExStage,Sand Kingdom,Ice Cave,SandWorldPressExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SandWorldPyramid000Stage,Sand Kingdom,Inverted Pyramid: Lower Interior,SandWorldPyramid000Stage::start,subarea,true,false,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SandWorldPyramid001Stage,Sand Kingdom,Inverted Pyramid: Upper Interior,SandWorldPyramid001Stage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SandWorldRotateExStage,Sand Kingdom,Strange Neighborhood,SandWorldRotateExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SandWorldSecretStage,Sand Kingdom,Sphynx Treasure Vault,SandWorldSecretStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SandWorldShopStage,Sand Kingdom,Crazy Cap Store,SandWorldShopStage::start,subarea,true,true,2,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SandWorldSlotStage,Sand Kingdom,Tostarena Slots,SandWorldSlotStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SandWorldSphinxExStage,Sand Kingdom,Jaxi Driving,SandWorldSphinxExStage::start,subarea,true,true,2,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SandWorldUnderground000Stage,Sand Kingdom,Underground Ruins,SandWorldUnderground000Stage::start,subarea,true,true,0,2,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SandWorldUnderground001Stage,Sand Kingdom,Deepest Underground,SandWorldUnderground001Stage::start,subarea,true,true,0,2,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SandWorldVibrationStage,Sand Kingdom,Rumbling Floor House,SandWorldVibrationStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
WaterTubeExStage,Sand Kingdom,Freezing Waterway,WaterTubeExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
CloudExStage,Seaside Kingdom,A Sea of Clouds,CloudExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
ReflectBombExStage,Seaside Kingdom,"Stop, Poke, and Roll",ReflectBombExStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SeaWorldCostumeStage,Seaside Kingdom,Costume Room,SeaWorldCostumeStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SeaWorldHomeStage,Seaside Kingdom,Seaside Kingdom,SeaWorldHomeStage::start,overworld,true,true,9,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link. Includes embedded map SeaWorld2DLargeZone. Includes embedded map SeaWorld2DSmallZone. Includes embedded map SeaWorldBeachVolleyBallZone. Includes embedded map SeaWorldBottomHollowZone. Includes embedded map SeaWorldCoveCaveZone. Includes embedded map SeaWorldDamageBallZone. Includes embedded map SeaWorldLavaZone. Includes embedded map SeaWorldLighthouseZone. Includes embedded map SeaWorldLongReefZone. Includes embedded map SeaWorldSphinxQuizZone. Includes embedded map SeaWorldUnderGlassZone. Includes embedded map SeaWorldUtsuboDenZone. Includes embedded map SeaWorldWallCaveCenterZone. Includes embedded map SeaWorldWallCaveWestZone.
SeaWorldSecretStage,Seaside Kingdom,Sphynx Treasure Vault,SeaWorldSecretStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SeaWorldSneakingManStage,Seaside Kingdom,Wriggling Power Moon,SeaWorldSneakingManStage::start,subarea,true,true,1,0,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
SeaWorldUtsuboCaveStage,Seaside Kingdom,Underwater Tunnel,SeaWorldUtsuboCaveStage::start,subarea,true,true,0,1,true,listed,Every listed room gets a stage_start node even when EntranceDB has no active link.
