link_index,kingdom,area_scope,home_stage,home_entrance_in,home_entrance_out,sub_stage,sub_entrance_in,sub_entrance_out,home_in_node_id,home_out_node_id,sub_near_node_id,sub_far_node_id,status,notes
10,Sand Kingdom,overworld,SandWorldHomeStage,doukutu1,doukutu2,SandWorldKillerExStage,doukutu1,doukutu2,SandWorldHomeStage::entrance::doukutu1::home_in,SandWorldHomeStage::entrance::doukutu2::home_out,SandWorldKillerExStage::entrance::doukutu1::sub_near,SandWorldKillerExStage::entrance::doukutu2::sub_far,active,
11,Sand Kingdom,overworld,SandWorldHomeStage,aaa,run00,SandWorldSphinxExStage,aaa,run00,SandWorldHomeStage::entrance::aaa::home_in,SandWorldHomeStage::entrance::run00::home_out,SandWorldSphinxExStage::entrance::aaa::sub_near,SandWorldSphinxExStage::entrance::run00::sub_far,active,
12,Sand Kingdom,overworld,SandWorldHomeStage,wall,anki2,SandWorldMeganeExStage,wall,anki2,SandWorldHomeStage::entrance::wall::home_in,SandWorldHomeStage::entrance::anki2::home_out,SandWorldMeganeExStage::entrance::wall::sub_near,SandWorldMeganeExStage::entrance::anki2::sub_far,active,
13,Sand Kingdom,overworld,SandWorldHomeStage,anki2,anki2,SandWorldMeganeExStage,anki2,anki2,SandWorldHomeStage::entrance::anki2::home_in,SandWorldHomeStage::entrance::anki2::home_out,SandWorldMeganeExStage::entrance::anki2::sub_near,SandWorldMeganeExStage::entrance::anki2::sub_far,excluded,anki2 is the exit pipe of the wall row — not a separate entrance
14,Sand Kingdom,overworld,SandWorldHomeStage,biru,birureturn,SandWorldRotateExStage,biru,birureturn,SandWorldHomeStage::entrance::biru::home_in,SandWorldHomeStage::entrance::birureturn::home_out,SandWorldRotateExStage::entrance::biru::sub_near,SandWorldRotateExStage::entrance::birureturn::sub_far,active,
15,Sand Kingdom,overworld,SandWorldHomeStage,rocket,rocket,RocketFlowerExStage,rocket,rocket,SandWorldHomeStage::entrance::rocket::home_in,SandWorldHomeStage::entrance::rocket::home_out,RocketFlowerExStage::entrance::rocket::sub_near,RocketFlowerExStage::entrance::rocket::sub_far,active,
16,Sand Kingdom,overworld,SandWorldHomeStage,meganelift01,meganelift02,MeganeLiftExStage,meganelift01,meganelift02,SandWorldHomeStage::entrance::meganelift01::home_in,SandWorldHomeStage::entrance::meganelift02::home_out,MeganeLiftExStage::entrance::meganelift01::sub_near,MeganeLiftExStage::entrance::meganelift02::sub_far,active,
17,Sand Kingdom,overworld,SandWorldHomeStage,arijigoku,arijigoku2,SandWorldPressExStage,arijigoku,arijigoku2,SandWorldHomeStage::entrance::arijigoku::home_in,SandWorldHomeStage::entrance::arijigoku2::home_out,SandWorldPressExStage::entrance::arijigoku::sub_near,SandWorldPressExStage::entrance::arijigoku2::sub_far,active,ceiling-drop entry plus the Jaxi-ruins exit; the entrance pipe is a coupled return alias
18,Sand Kingdom,overworld,SandWorldHomeStage,hide,hide,SandWorldSecretStage,hide,hide,SandWorldHomeStage::entrance::hide::home_in,SandWorldHomeStage::entrance::hide::home_out,SandWorldSecretStage::entrance::hide::sub_near,SandWorldSecretStage::entrance::hide::sub_far,active,
19,Sand Kingdom,overworld,SandWorldHomeStage,run00return,run00,SandWorldSphinxExStage,run00return,run00return,SandWorldHomeStage::entrance::run00return::home_in,SandWorldHomeStage::entrance::run00::home_out,SandWorldSphinxExStage::entrance::run00return::sub_near,SandWorldSphinxExStage::entrance::run00return::sub_far,active,
20,Sand Kingdom,overworld,SandWorldHomeStage,shindo,shindo,SandWorldVibrationStage,shindo,shindo,SandWorldHomeStage::entrance::shindo::home_in,SandWorldHomeStage::entrance::shindo::home_out,SandWorldVibrationStage::entrance::shindo::sub_near,SandWorldVibrationStage::entrance::shindo::sub_far,active,
21,Sand Kingdom,overworld,SandWorldHomeStage,bar1,bar1,SandWorldShopStage,bar1,bar1,SandWorldHomeStage::entrance::bar1::home_in,SandWorldHomeStage::entrance::bar1::home_out,SandWorldShopStage::entrance::bar1::sub_near,SandWorldShopStage::entrance::bar1::sub_far,active,
22,Sand Kingdom,overworld,SandWorldHomeStage,bar2,bar2,SandWorldShopStage,bar2,bar2,SandWorldHomeStage::entrance::bar2::home_in,SandWorldHomeStage::entrance::bar2::home_out,SandWorldShopStage::entrance::bar2::sub_near,SandWorldShopStage::entrance::bar2::sub_far,active,
23,Sand Kingdom,overworld,SandWorldHomeStage,town,town,SandWorldSlotStage,town,town,SandWorldHomeStage::entrance::town::home_in,SandWorldHomeStage::entrance::town::home_out,SandWorldSlotStage::entrance::town::sub_near,SandWorldSlotStage::entrance::town::sub_far,active,
24,Sand Kingdom,overworld,SandWorldHomeStage,abc,abc,SandWorldCostumeStage,abc,abc,SandWorldHomeStage::entrance::abc::home_in,SandWorldHomeStage::entrance::abc::home_out,SandWorldCostumeStage::entrance::abc::sub_near,SandWorldCostumeStage::entrance::abc::sub_far,active,
25,Sand Kingdom,overworld,SandWorldHomeStage,EX_2DHosui,EX_2DHosui_Exit,WaterTubeExStage,EX_2DHosui,EX_2DHosui_Exit,SandWorldHomeStage::entrance::EX_2DHosui::home_in,SandWorldHomeStage::entrance::EX_2DHosui_Exit::home_out,WaterTubeExStage::entrance::EX_2DHosui::sub_near,WaterTubeExStage::entrance::EX_2DHosui_Exit::sub_far,active,
26,Lake Kingdom,overworld,LakeWorldHomeStage,CapTrampolineA,CapTrampolineB,TrampolineWallCatchExStage,CapTrampolineA,CapTrampolineB,LakeWorldHomeStage::entrance::CapTrampolineA::home_in,LakeWorldHomeStage::entrance::CapTrampolineB::home_out,TrampolineWallCatchExStage::entrance::CapTrampolineA::sub_near,TrampolineWallCatchExStage::entrance::CapTrampolineB::sub_far,active,
27,Lake Kingdom,overworld,LakeWorldHomeStage,FastenerEx,FastenerEx,FastenerExStage,FastenerEx,FastenerEx,LakeWorldHomeStage::entrance::FastenerEx::home_in,LakeWorldHomeStage::entrance::FastenerEx::home_out,FastenerExStage::entrance::FastenerEx::sub_near,FastenerExStage::entrance::FastenerEx::sub_far,active,
28,Lake Kingdom,overworld,LakeWorldHomeStage,Goton,Goton,GotogotonExStage,Goton,Goton,LakeWorldHomeStage::entrance::Goton::home_in,LakeWorldHomeStage::entrance::Goton::home_out,GotogotonExStage::entrance::Goton::sub_near,GotogotonExStage::entrance::Goton::sub_far,active,
29,Lake Kingdom,overworld,LakeWorldHomeStage,LakeWorldMoonEX1a,LakeWorldMoonEX1b,FrogPoisonExStage,LakeWorldMoonEX1a,LakeWorldMoonEX1b,LakeWorldHomeStage::entrance::LakeWorldMoonEX1a::home_in,LakeWorldHomeStage::entrance::LakeWorldMoonEX1b::home_out,FrogPoisonExStage::entrance::LakeWorldMoonEX1a::sub_near,FrogPoisonExStage::entrance::LakeWorldMoonEX1b::sub_far,active,
30,Lake Kingdom,overworld,LakeWorldHomeStage,LakeWorldShop,LakeWorldShop,LakeWorldShopStage,LakeWorldShop,LakeWorldShop,LakeWorldHomeStage::entrance::LakeWorldShop::home_in,LakeWorldHomeStage::entrance::LakeWorldShop::home_out,LakeWorldShopStage::entrance::LakeWorldShop::sub_near,LakeWorldShopStage::entrance::LakeWorldShop::sub_far,active,
31,Wooded Kingdom,overworld,ForestWorldHomeStage,EX_Water,EX_Water_Exit,ForestWorldWaterExStage,EX_Water,EX_Water_Exit,ForestWorldHomeStage::entrance::EX_Water::home_in,ForestWorldHomeStage::entrance::EX_Water_Exit::home_out,ForestWorldWaterExStage::entrance::EX_Water::sub_near,ForestWorldWaterExStage::entrance::EX_Water_Exit::sub_far,active,
32,Wooded Kingdom,overworld,ForestWorldHomeStage,EX_RailCollision,EX_RailCollision_Exit,RailCollisionExStage,EX_RailCollision,EX_RailCollision_Exit,ForestWorldHomeStage::entrance::EX_RailCollision::home_in,ForestWorldHomeStage::entrance::EX_RailCollision_Exit::home_out,RailCollisionExStage::entrance::EX_RailCollision::sub_near,RailCollisionExStage::entrance::EX_RailCollision_Exit::sub_far,active,
33,Wooded Kingdom,overworld,ForestWorldHomeStage,EX_Tankuro,EX_Tankuro_Exit,ShootingElevatorExStage,EX_Tankuro,EX_Tankuro_Exit,ForestWorldHomeStage::entrance::EX_Tankuro::home_in,ForestWorldHomeStage::entrance::EX_Tankuro_Exit::home_out,ShootingElevatorExStage::entrance::EX_Tankuro::sub_near,ShootingElevatorExStage::entrance::EX_Tankuro_Exit::sub_far,active,
34,Wooded Kingdom,overworld,ForestWorldHomeStage,EX_Mist,EX_Mist,FogMountainExStage,EX_Mist,EX_Mist,ForestWorldHomeStage::entrance::EX_Mist::home_in,ForestWorldHomeStage::entrance::EX_Mist::home_out,FogMountainExStage::entrance::EX_Mist::sub_near,FogMountainExStage::entrance::EX_Mist::sub_far,active,
35,Wooded Kingdom,overworld,ForestWorldHomeStage,bonus,bonus2,ForestWorldBonusStage,bonus,bonus2,ForestWorldHomeStage::entrance::bonus::home_in,ForestWorldHomeStage::entrance::bonus2::home_out,ForestWorldBonusStage::entrance::bonus::sub_near,ForestWorldBonusStage::entrance::bonus2::sub_far,active,
36,Wooded Kingdom,overworld,ForestWorldHomeStage,PoisonEx,PoisonEx_Exit,PackunPoisonExStage,PoisonEx,PoisonEx_Exit,ForestWorldHomeStage::entrance::PoisonEx::home_in,ForestWorldHomeStage::entrance::PoisonEx_Exit::home_out,PackunPoisonExStage::entrance::PoisonEx::sub_near,PackunPoisonExStage::entrance::PoisonEx_Exit::sub_far,active,
37,Wooded Kingdom,overworld,ForestWorldHomeStage,KillerRoad,KillerRoad,KillerRoadExStage,KillerRoad,KillerRoad,ForestWorldHomeStage::entrance::KillerRoad::home_in,ForestWorldHomeStage::entrance::KillerRoad::home_out,KillerRoadExStage::entrance::KillerRoad::sub_near,KillerRoadExStage::entrance::KillerRoad::sub_far,active,
38,Wooded Kingdom,overworld,ForestWorldHomeStage,EXCloud,EXCloud,ForestWorldCloudBonusExStage,EXCloud,EXCloud,ForestWorldHomeStage::entrance::EXCloud::home_in,ForestWorldHomeStage::entrance::EXCloud::home_out,ForestWorldCloudBonusExStage::entrance::EXCloud::sub_near,ForestWorldCloudBonusExStage::entrance::EXCloud::sub_far,active,
39,Wooded Kingdom,overworld,ForestWorldHomeStage,EX_AnimalChase,EX_AnimalChase,AnimalChaseExStage,EX_AnimalChase,EX_AnimalChase,ForestWorldHomeStage::entrance::EX_AnimalChase::home_in,ForestWorldHomeStage::entrance::EX_AnimalChase::home_out,AnimalChaseExStage::entrance::EX_AnimalChase::sub_near,AnimalChaseExStage::entrance::EX_AnimalChase::sub_far,active,
40,Wooded Kingdom,overworld,ForestWorldHomeStage,Jyukai001,Jyukai001v,ForestWorldWoodsStage,Jyukai001,Jyukai001v,ForestWorldHomeStage::entrance::Jyukai001::home_in,ForestWorldHomeStage::entrance::Jyukai001v::home_out,ForestWorldWoodsStage::entrance::Jyukai001::sub_near,ForestWorldWoodsStage::entrance::Jyukai001v::sub_far,active,
41,Wooded Kingdom,overworld,ForestWorldHomeStage,Jyukai001v,Jyukai001v,ForestWorldWoodsStage,Jyukai001v,Jyukai001v,ForestWorldHomeStage::entrance::Jyukai001v::home_in,ForestWorldHomeStage::entrance::Jyukai001v::home_out,ForestWorldWoodsStage::entrance::Jyukai001v::sub_near,ForestWorldWoodsStage::entrance::Jyukai001v::sub_far,excluded,vine exit — no PlayerStartObjNoLink in sub; exit of Jyukai001 row
42,Wooded Kingdom,overworld,ForestWorldHomeStage,Jyukai002,Jyukai002,ForestWorldWoodsStage,Jyukai002,Jyukai002,ForestWorldHomeStage::entrance::Jyukai002::home_in,ForestWorldHomeStage::entrance::Jyukai002::home_out,ForestWorldWoodsStage::entrance::Jyukai002::sub_near,ForestWorldWoodsStage::entrance::Jyukai002::sub_far,excluded,vine exit only — no PlayerStartObjNoLink in sub
43,Wooded Kingdom,overworld,ForestWorldHomeStage,Jyukai003,Jyukai003v,ForestWorldWoodsStage,Jyukai003,Jyukai003v,ForestWorldHomeStage::entrance::Jyukai003::home_in,ForestWorldHomeStage::entrance::Jyukai003v::home_out,ForestWorldWoodsStage::entrance::Jyukai003::sub_near,ForestWorldWoodsStage::entrance::Jyukai003v::sub_far,active,
44,Wooded Kingdom,overworld,ForestWorldHomeStage,Jyukai003v,Jyukai003v,ForestWorldWoodsStage,Jyukai003v,Jyukai003v,ForestWorldHomeStage::entrance::Jyukai003v::home_in,ForestWorldHomeStage::entrance::Jyukai003v::home_out,ForestWorldWoodsStage::entrance::Jyukai003v::sub_near,ForestWorldWoodsStage::entrance::Jyukai003v::sub_far,excluded,vine exit — no PlayerStartObjNoLink in sub; exit of Jyukai003 row
45,Wooded Kingdom,overworld,ForestWorldHomeStage,Jyukai004,Jyukai004,ForestWorldWoodsStage,Jyukai004,Jyukai004,ForestWorldHomeStage::entrance::Jyukai004::home_in,ForestWorldHomeStage::entrance::Jyukai004::home_out,ForestWorldWoodsStage::entrance::Jyukai004::sub_near,ForestWorldWoodsStage::entrance::Jyukai004::sub_far,excluded,vine exit only — no PlayerStartObjNoLink in sub
46,Cloud Kingdom,overworld,CloudWorldHomeStage,Fukuwarai,Fukuwarai,FukuwaraiKuriboStage,Fukuwarai,Fukuwarai,CloudWorldHomeStage::entrance::Fukuwarai::home_in,CloudWorldHomeStage::entrance::Fukuwarai::home_out,FukuwaraiKuriboStage::entrance::Fukuwarai::sub_near,FukuwaraiKuriboStage::entrance::Fukuwarai::sub_far,active,
47,Cloud Kingdom,overworld,CloudWorldHomeStage,cube,cube,Cube2DExStage,cube,cube,CloudWorldHomeStage::entrance::cube::home_in,CloudWorldHomeStage::entrance::cube::home_out,Cube2DExStage::entrance::cube::sub_near,Cube2DExStage::entrance::cube::sub_far,active,
48,Lost Kingdom,overworld,ClashWorldHomeStage,imomu_01,imomu_02,ImomuPoisonExStage,imomu_01,imomu_02,ClashWorldHomeStage::entrance::imomu_01::home_in,ClashWorldHomeStage::entrance::imomu_02::home_out,ImomuPoisonExStage::entrance::imomu_01::sub_near,ImomuPoisonExStage::entrance::imomu_02::sub_far,active,
49,Lost Kingdom,overworld,ClashWorldHomeStage,ClashWorldMoonEX2,ClashWorldMoonEX2,JangoExStage,ClashWorldMoonEX2,ClashWorldMoonEX2,ClashWorldHomeStage::entrance::ClashWorldMoonEX2::home_in,ClashWorldHomeStage::entrance::ClashWorldMoonEX2::home_out,JangoExStage::entrance::ClashWorldMoonEX2::sub_near,JangoExStage::entrance::ClashWorldMoonEX2::sub_far,active,
50,Lost Kingdom,overworld,ClashWorldHomeStage,Kinopio,Kinopio,ClashWorldShopStage,Kinopio,Kinopio,ClashWorldHomeStage::entrance::Kinopio::home_in,ClashWorldHomeStage::entrance::Kinopio::home_out,ClashWorldShopStage::entrance::Kinopio::sub_near,ClashWorldShopStage::entrance::Kinopio::sub_far,active,
51,Metro Kingdom,overworld,CityWorldHomeStage,main_enter,main_exit,CityWorldMainTowerStage,main_enter,main_exit,CityWorldHomeStage::entrance::main_enter::home_in,CityWorldHomeStage::entrance::main_exit::home_out,CityWorldMainTowerStage::entrance::main_enter::sub_near,CityWorldMainTowerStage::entrance::main_exit::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
52,Metro Kingdom,overworld,CityWorldHomeStage,densen,densendokan,ElectricWireExStage,densen,densendokan,CityWorldHomeStage::entrance::densen::home_in,CityWorldHomeStage::entrance::densendokan::home_out,ElectricWireExStage::entrance::densen::sub_near,ElectricWireExStage::entrance::densendokan::sub_far,active,
53,Metro Kingdom,overworld,CityWorldHomeStage,kaitendokan,kaitendokan,CapRotatePackunExStage,kaitendokan,kaitendokan,CityWorldHomeStage::entrance::kaitendokan::home_in,CityWorldHomeStage::entrance::kaitendokan::home_out,CapRotatePackunExStage::entrance::kaitendokan::sub_near,CapRotatePackunExStage::entrance::kaitendokan::sub_far,active,
54,Metro Kingdom,overworld,CityWorldHomeStage,bike02,bike02return,TrexBikeExStage,bike02,bike02return,CityWorldHomeStage::entrance::bike02::home_in,CityWorldHomeStage::entrance::bike02return::home_out,TrexBikeExStage::entrance::bike02::sub_near,TrexBikeExStage::entrance::bike02return::sub_far,active,
55,Metro Kingdom,overworld,CityWorldHomeStage,gragra,gragrareturn,SwingSteelExStage,gragra,gragrareturn,CityWorldHomeStage::entrance::gragra::home_in,CityWorldHomeStage::entrance::gragrareturn::home_out,SwingSteelExStage::entrance::gragra::sub_near,SwingSteelExStage::entrance::gragrareturn::sub_far,active,
56,Metro Kingdom,overworld,CityWorldHomeStage,donsuke,donsuke,DonsukeExStage,donsuke,donsuke,CityWorldHomeStage::entrance::donsuke::home_in,CityWorldHomeStage::entrance::donsuke::home_out,DonsukeExStage::entrance::donsuke::sub_near,DonsukeExStage::entrance::donsuke::sub_far,active,
57,Metro Kingdom,overworld,CityWorldHomeStage,theater,theater,Theater2DExStage,theater,theater,CityWorldHomeStage::entrance::theater::home_in,CityWorldHomeStage::entrance::theater::home_out,Theater2DExStage::entrance::theater::sub_near,Theater2DExStage::entrance::theater::sub_far,active,
58,Metro Kingdom,overworld,CityWorldHomeStage,gunsyu,gunsyudokan,CityPeopleRoadStage,gunsyu,gunsyudokan,CityWorldHomeStage::entrance::gunsyu::home_in,CityWorldHomeStage::entrance::gunsyudokan::home_out,CityPeopleRoadStage::entrance::gunsyu::sub_near,CityPeopleRoadStage::entrance::gunsyudokan::sub_far,active,
59,Metro Kingdom,overworld,CityWorldHomeStage,bou,boureturn,PoleKillerExStage,bou,boureturn,CityWorldHomeStage::entrance::bou::home_in,CityWorldHomeStage::entrance::boureturn::home_out,PoleKillerExStage::entrance::bou::sub_near,PoleKillerExStage::entrance::boureturn::sub_far,active,
60,Metro Kingdom,overworld,CityWorldHomeStage,onpu,onpu,Note2D3DRoomExStage,onpu,onpu,CityWorldHomeStage::entrance::onpu::home_in,CityWorldHomeStage::entrance::onpu::home_out,Note2D3DRoomExStage::entrance::onpu::sub_near,Note2D3DRoomExStage::entrance::onpu::sub_far,active,
61,Metro Kingdom,overworld,CityWorldHomeStage,car,car,RadioControlExStage,car,car,CityWorldHomeStage::entrance::car::home_in,CityWorldHomeStage::entrance::car::home_out,RadioControlExStage::entrance::car::sub_near,RadioControlExStage::entrance::car::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
62,Metro Kingdom,overworld,CityWorldHomeStage,tenjo,tenjo,PoleGrabCeilExStage,tenjo,tenjo,CityWorldHomeStage::entrance::tenjo::home_in,CityWorldHomeStage::entrance::tenjo::home_out,PoleGrabCeilExStage::entrance::tenjo::sub_near,PoleGrabCeilExStage::entrance::tenjo::sub_far,active,
63,Metro Kingdom,overworld,CityWorldHomeStage,taxi,taxireturn,ShootingCityExStage,taxi,taxireturn,CityWorldHomeStage::entrance::taxi::home_in,CityWorldHomeStage::entrance::taxireturn::home_out,ShootingCityExStage::entrance::taxi::sub_near,ShootingCityExStage::entrance::taxireturn::sub_far,active,
64,Metro Kingdom,overworld,CityWorldHomeStage,Bonus,Bonus,CityWorldSandSlotStage,Bonus,Bonus,CityWorldHomeStage::entrance::Bonus::home_in,CityWorldHomeStage::entrance::Bonus::home_out,CityWorldSandSlotStage::entrance::Bonus::sub_near,CityWorldSandSlotStage::entrance::Bonus::sub_far,active,
65,Metro Kingdom,overworld,CityWorldHomeStage,shop_corect,shop_corect,CityWorldShop01Stage,shop_corect,shop_corect,CityWorldHomeStage::entrance::shop_corect::home_in,CityWorldHomeStage::entrance::shop_corect::home_out,CityWorldShop01Stage::entrance::shop_corect::sub_near,CityWorldShop01Stage::entrance::shop_corect::sub_far,active,
66,Metro Kingdom,overworld,CityWorldHomeStage,shop_coin,shop_coin,CityWorldShop01Stage,shop_coin,shop_coin,CityWorldHomeStage::entrance::shop_coin::home_in,CityWorldHomeStage::entrance::shop_coin::home_out,CityWorldShop01Stage::entrance::shop_coin::sub_near,CityWorldShop01Stage::entrance::shop_coin::sub_far,active,
67,Metro Kingdom,overworld,CityWorldHomeStage,bike,bikereturn,BikeSteelExStage,bike,bikereturn,CityWorldHomeStage::entrance::bike::home_in,CityWorldHomeStage::entrance::bikereturn::home_out,BikeSteelExStage::entrance::bike::sub_near,BikeSteelExStage::entrance::bikereturn::sub_far,active,
68,Snow Kingdom,overworld,SnowWorldHomeStage,EX_IceWaterDash,EX_IceWaterDash_Exit,IceWaterDashExStage,EX_IceWaterDash,EX_IceWaterDash_Exit,SnowWorldHomeStage::entrance::EX_IceWaterDash::home_in,SnowWorldHomeStage::entrance::EX_IceWaterDash_Exit::home_out,IceWaterDashExStage::entrance::EX_IceWaterDash::sub_near,IceWaterDashExStage::entrance::EX_IceWaterDash_Exit::sub_far,active,
69,Snow Kingdom,overworld,SnowWorldHomeStage,EX_IceWater,EX_IceWater_Exit,IceWaterBlockExStage,EX_IceWater,EX_IceWater_Exit,SnowWorldHomeStage::entrance::EX_IceWater::home_in,SnowWorldHomeStage::entrance::EX_IceWater_Exit::home_out,IceWaterBlockExStage::entrance::EX_IceWater::sub_near,IceWaterBlockExStage::entrance::EX_IceWater_Exit::sub_far,active,
70,Snow Kingdom,overworld,SnowWorldHomeStage,ByugoPuzzle,ByugoPuzzle,ByugoPuzzleExStage,ByugoPuzzle,ByugoPuzzle,SnowWorldHomeStage::entrance::ByugoPuzzle::home_in,SnowWorldHomeStage::entrance::ByugoPuzzle::home_out,ByugoPuzzleExStage::entrance::ByugoPuzzle::sub_near,ByugoPuzzleExStage::entrance::ByugoPuzzle::sub_far,active,
71,Snow Kingdom,overworld,SnowWorldHomeStage,FigureWalker,FigureWalker,IceWalkerExStage,FigureWalker,FigureWalker,SnowWorldHomeStage::entrance::FigureWalker::home_in,SnowWorldHomeStage::entrance::FigureWalker::home_out,IceWalkerExStage::entrance::FigureWalker::sub_near,IceWalkerExStage::entrance::FigureWalker::sub_far,active,
72,Snow Kingdom,overworld,SnowWorldHomeStage,EX_SkyBonus,EX_SkyBonus,SnowWorldCloudBonusExStage,EX_SkyBonus,EX_SkyBonus,SnowWorldHomeStage::entrance::EX_SkyBonus::home_in,SnowWorldHomeStage::entrance::EX_SkyBonus::home_out,SnowWorldCloudBonusExStage::entrance::EX_SkyBonus::sub_near,SnowWorldCloudBonusExStage::entrance::EX_SkyBonus::sub_far,active,
73,Snow Kingdom,overworld,SnowWorldHomeStage,EX_RailCol2,EX_RailCol2_Exit,KillerRailCollisionExStage,EX_RailCol2,EX_RailCol2_Exit,SnowWorldHomeStage::entrance::EX_RailCol2::home_in,SnowWorldHomeStage::entrance::EX_RailCol2_Exit::home_out,KillerRailCollisionExStage::entrance::EX_RailCol2::sub_near,KillerRailCollisionExStage::entrance::EX_RailCol2_Exit::sub_far,active,
74,Snow Kingdom,overworld,SnowWorldHomeStage,MoonRace,MoonRace,SnowWorldLobbyExStage,MoonRace,MoonRace,SnowWorldHomeStage::entrance::MoonRace::home_in,SnowWorldHomeStage::entrance::MoonRace::home_out,SnowWorldLobbyExStage::entrance::MoonRace::sub_near,SnowWorldLobbyExStage::entrance::MoonRace::sub_far,active,
75,Seaside Kingdom,overworld,SeaWorldHomeStage,SeaWorldEX1a,SeaWorldEX1b,WaterValleyExStage,SeaWorldEX1a,SeaWorldEX1b,SeaWorldHomeStage::entrance::SeaWorldEX1a::home_in,SeaWorldHomeStage::entrance::SeaWorldEX1b::home_out,WaterValleyExStage::entrance::SeaWorldEX1a::sub_near,WaterValleyExStage::entrance::SeaWorldEX1b::sub_far,active,
